id	timestamp	group
312	0	33
524	0	33
301	0	35
300	0	35
557	0	37
419	0	37
641	0	119
333	0	119
521	0	73
268	0	73
73	0	107
5	0	107
59	0	44
575	0	44
677	0	78
359	0	78
37	0	47
36	0	47
161	0	27
549	0	27
47	0	81
449	0	81
379	0	19
339	0	19
553	0	62
343	0	62
375	0	94
432	0	94
318	0	94
372	0	86
556	0	86
278	0	88
335	0	88
530	0	120
249	0	120
288	0	25
104	0	25
541	0	123
306	0	123
260	0	30
459	0	30
312	1	33
524	1	33
301	1	35
300	1	35
166	1	54
165	1	54
641	1	119
333	1	119
521	1	73
268	1	73
322	1	42
321	1	42
73	1	107
5	1	107
575	1	44
59	1	44
677	1	78
359	1	78
36	1	47
37	1	47
47	1	81
449	1	81
379	1	19
339	1	19
553	1	62
343	1	62
372	1	86
556	1	86
278	1	88
335	1	88
530	1	120
249	1	120
288	1	25
104	1	25
161	1	27
549	1	27
260	1	30
459	1	30
557	1	37
419	1	37
312	2	33
524	2	33
301	2	35
300	2	35
166	2	54
165	2	54
641	2	119
333	2	119
521	2	73
268	2	73
73	2	107
5	2	107
59	2	44
575	2	44
677	2	78
359	2	78
37	2	47
36	2	47
473	2	176
162	2	176
47	2	81
449	2	81
379	2	19
339	2	19
553	2	62
343	2	62
372	2	86
556	2	86
278	2	88
335	2	88
530	2	120
249	2	120
288	2	25
104	2	25
161	2	27
549	2	27
260	2	30
459	2	30
557	2	37
419	2	37
312	3	33
524	3	33
301	3	35
300	3	35
557	3	37
419	3	37
521	3	73
268	3	73
322	3	42
321	3	42
641	3	119
333	3	119
575	3	44
59	3	44
677	3	78
359	3	78
36	3	47
37	3	47
162	3	176
473	3	176
47	3	81
449	3	81
379	3	19
339	3	19
553	3	62
343	3	62
166	3	54
165	3	54
278	3	88
335	3	88
530	3	120
249	3	120
288	3	25
104	3	25
541	3	123
306	3	123
161	3	27
549	3	27
260	3	30
459	3	30
301	4	35
300	4	35
557	4	37
419	4	37
521	4	73
268	4	73
59	4	44
575	4	44
677	4	78
359	4	78
379	4	19
339	4	19
553	4	62
343	4	62
166	4	54
165	4	54
278	4	88
335	4	88
288	4	25
104	4	25
161	4	27
549	4	27
260	4	30
459	4	30
312	5	33
524	5	33
301	5	35
300	5	35
557	5	37
419	5	37
521	5	73
268	5	73
677	5	78
359	5	78
47	5	81
449	5	81
379	5	19
339	5	19
278	5	88
335	5	88
288	5	25
104	5	25
176	5	25
161	5	27
549	5	27
260	5	30
459	5	30
312	6	33
524	6	33
301	6	35
300	6	35
557	6	37
419	6	37
521	6	73
268	6	73
59	6	44
575	6	44
707	6	142
331	6	142
47	6	81
449	6	81
379	6	19
339	6	19
677	6	78
359	6	78
166	6	54
165	6	54
278	6	88
335	6	88
288	6	25
104	6	25
176	6	25
161	6	27
549	6	27
260	6	30
459	6	30
312	7	33
524	7	33
301	7	35
300	7	35
557	7	37
419	7	37
521	7	73
268	7	73
322	7	42
321	7	42
59	7	44
575	7	44
707	7	142
331	7	142
47	7	81
449	7	81
492	7	82
461	7	82
379	7	19
339	7	19
677	7	78
359	7	78
278	7	88
335	7	88
288	7	25
104	7	25
176	7	25
161	7	27
549	7	27
260	7	30
459	7	30
312	8	33
524	8	33
301	8	35
300	8	35
557	8	37
419	8	37
521	8	73
268	8	73
322	8	42
321	8	42
59	8	44
575	8	44
677	8	78
359	8	78
47	8	81
449	8	81
461	8	82
492	8	82
379	8	19
339	8	19
553	8	62
343	8	62
372	8	86
556	8	86
288	8	25
104	8	25
176	8	25
161	8	27
549	8	27
260	8	30
459	8	30
224	8	127
223	8	127
312	9	33
524	9	33
301	9	35
300	9	35
557	9	37
419	9	37
521	9	73
268	9	73
322	9	42
321	9	42
59	9	44
575	9	44
677	9	78
359	9	78
461	9	82
492	9	82
379	9	19
339	9	19
553	9	62
343	9	62
372	9	86
556	9	86
278	9	88
335	9	88
288	9	25
104	9	25
161	9	27
549	9	27
260	9	30
459	9	30
224	9	127
223	9	127
312	10	33
524	10	33
301	10	35
300	10	35
166	10	54
165	10	54
521	10	73
268	10	73
322	10	42
321	10	42
59	10	44
575	10	44
677	10	78
359	10	78
569	10	80
465	10	80
492	10	82
461	10	82
379	10	19
339	10	19
372	10	86
556	10	86
278	10	88
335	10	88
288	10	25
104	10	25
176	10	25
161	10	27
549	10	27
557	10	37
419	10	37
260	10	30
459	10	30
224	10	127
223	10	127
312	11	33
524	11	33
301	11	35
300	11	35
557	11	37
419	11	37
521	11	73
268	11	73
59	11	44
575	11	44
677	11	78
359	11	78
569	11	80
465	11	80
379	11	19
339	11	19
372	11	86
556	11	86
278	11	88
335	11	88
288	11	25
104	11	25
176	11	25
161	11	27
549	11	27
260	11	30
459	11	30
224	11	127
223	11	127
301	12	35
300	12	35
557	12	37
419	12	37
521	12	73
268	12	73
322	12	42
321	12	42
59	12	44
575	12	44
379	12	19
339	12	19
553	12	62
343	12	62
372	12	86
556	12	86
288	12	25
104	12	25
176	12	25
161	12	27
549	12	27
375	12	60
655	12	60
260	12	30
459	12	30
312	13	33
524	13	33
301	13	35
300	13	35
166	13	54
165	13	54
521	13	73
268	13	73
322	13	42
321	13	42
575	13	44
59	13	44
707	13	142
331	13	142
36	13	47
37	13	47
379	13	19
339	13	19
553	13	62
343	13	62
372	13	86
556	13	86
288	13	25
104	13	25
176	13	25
161	13	27
549	13	27
375	13	60
655	13	60
557	13	37
419	13	37
260	13	30
459	13	30
224	13	127
223	13	127
312	14	33
524	14	33
301	14	35
300	14	35
166	14	54
165	14	54
521	14	73
268	14	73
322	14	42
321	14	42
575	14	44
59	14	44
371	14	77
156	14	77
359	14	78
677	14	78
36	14	47
37	14	47
379	14	19
339	14	19
372	14	86
556	14	86
288	14	25
104	14	25
176	14	25
161	14	27
549	14	27
375	14	60
655	14	60
557	14	37
419	14	37
260	14	30
459	14	30
224	14	127
223	14	127
301	15	35
300	15	35
557	15	37
419	15	37
521	15	73
268	15	73
322	15	42
321	15	42
575	15	44
59	15	44
156	15	77
371	15	77
359	15	78
677	15	78
36	15	47
37	15	47
47	15	81
449	15	81
492	15	82
461	15	82
379	15	19
339	15	19
278	15	88
335	15	88
288	15	25
104	15	25
176	15	25
161	15	27
549	15	27
375	15	60
655	15	60
260	15	30
459	15	30
224	15	127
223	15	127
312	16	33
524	16	33
301	16	35
300	16	35
166	16	54
165	16	54
521	16	73
268	16	73
322	16	42
321	16	42
575	16	44
59	16	44
371	16	77
156	16	77
359	16	78
677	16	78
36	16	47
37	16	47
47	16	81
449	16	81
379	16	19
339	16	19
553	16	62
343	16	62
372	16	86
556	16	86
278	16	88
335	16	88
288	16	25
104	16	25
176	16	25
161	16	27
549	16	27
375	16	60
655	16	60
260	16	30
459	16	30
557	16	37
419	16	37
312	17	33
524	17	33
301	17	35
300	17	35
166	17	54
165	17	54
521	17	73
268	17	73
322	17	42
321	17	42
575	17	44
59	17	44
371	17	77
156	17	77
359	17	78
677	17	78
36	17	47
37	17	47
492	17	82
461	17	82
379	17	19
339	17	19
372	17	86
556	17	86
278	17	88
335	17	88
288	17	25
104	17	25
176	17	25
161	17	27
549	17	27
375	17	60
655	17	60
260	17	30
459	17	30
557	17	37
419	17	37
312	18	33
524	18	33
301	18	35
300	18	35
166	18	54
165	18	54
521	18	73
268	18	73
322	18	42
